,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
MTVR2,0,0,0,0,0,0,0,0,0
LOC100506860,0,0,0,0,0,0,0,0,0
CHMP1B,1779,844,850,2069,3020,1415,2509,2162,1977
LOC441204,0,0,0,0,0,0,0,0,0
TCOF1,13116,30852,7850,4561,13630,9270,11555,18246,4972
NSRP1,508,2657,888,1077,2082,961,1334,1610,874
SPPL3,1399,3859,2236,1864,5104,3958,3657,3624,1902
OPA3,121,243,62,72,193,82,179,148,159
OPA1,6274,14313,9801,8132,18441,15677,11800,21414,14331
RNF219-AS1,0,0,0,0,0,0,0,0,0
ITGA8,34,1248,1492,2741,799,263,2440,402,538
ITGA9,1246,930,1391,2117,1372,860,2810,1182,655
ITGA1,2999,5847,3502,3052,2766,1222,2582,5306,1508
ITGA2,9956,29345,25559,5985,41162,25329,31360,12190,6782
ITGA3,26453,7074,3396,10035,8366,8168,9818,6214,8969
ITGA4,606,1642,1750,1763,2063,711,641,3290,1236
ITGA5,6967,10398,2784,2506,1486,1847,1969,1236,1891
ITGA6,40158,17106,19850,18616,63350,32351,41962,40560,37369
ITGA7,258,1091,521,930,582,482,2532,670,441
TRHR,34,77,68,11,0,0,0,200,0
UFSP1,6,29,6,30,7,0,3,0,0
UFSP2,389,3076,1019,1392,3636,5138,1772,2004,1079
LOC101928371,0,15,0,0,93,17,97,0,39
LOC101928370,0,0,0,0,0,0,0,0,0
LOC101928372,0,0,0,0,0,0,0,0,0
LOC101928378,156,71,48,97,98,120,111,112,83
FAM212B,54,175,154,143,219,357,213,784,74
FAM212A,44,262,123,27,219,338,153,212,203
CHST9,0,0,14,0,64,32,0,150,212
CHST8,0,25,0,0,0,0,6,0,0
CHST1,19,103,52,37,73,85,11,0,0
CHST3,2066,566,586,508,672,1148,1207,470,604
CHST2,61,170,49,92,29,71,309,60,1332
CHST5,0,7,0,36,0,0,11,0,0
CHST4,0,11,0,25,0,0,0,0,0
CHST7,21,36,56,36,73,29,100,80,38
CHST6,114,48,138,140,151,0,391,0,104
ITGAX,2082,4555,1953,3350,4447,1557,1835,4642,1851
BCL2A1,154,451,281,126,376,112,105,482,72
ITGAV,5965,10838,11694,10179,8343,9013,6715,7650,8486
ITGAL,389,1726,1306,2206,2989,856,717,6136,1547
ITGAM,340,972,1129,951,913,440,444,1424,376
ITGAD,99,42,232,96,15,98,13,260,13
ITGAE,279,771,518,666,3129,447,256,8410,996
IGF2R,9953,17556,8716,10728,11855,18950,11780,12342,8204
LOC101926905,0,0,0,0,0,0,0,0,0
PAXIP1OS,5,105,110,190,222,79,161,418,50
SLC36A4,692,712,529,632,584,329,258,530,449
SLC36A3,0,69,23,0,30,117,0,0,0
CKS1B,1447,3659,1221,726,1814,1148,1808,2214,897
SLC36A1,1221,1357,787,1291,1267,1389,829,1788,1168
ARTN,121,97,20,0,32,13,63,10,33
ART1,0,8,0,0,9,0,0,0,0
ART3,0,0,0,0,0,0,7,0,25
ART5,0,0,0,0,0,0,0,0,0
ART4,0,0,0,0,11,0,0,0,0
GPR111,0,14,41,0,0,0,42,0,6
MGC57346,0,0,6,0,6,0,0,0,0
CRTAM,0,35,22,14,87,0,0,122,0
CADPS2,799,1291,1719,6809,2324,1056,849,684,1959
RLF,1599,5246,3146,2736,6026,4200,2870,8086,3264
USP17L30,96,709,1313,1176,260,405,1371,1292,713
LOC102723927,0,0,0,0,0,0,0,0,0
CRTAP,2756,5293,5109,5032,3867,3529,4226,6506,4606
ADPGK,1399,2186,1250,1939,2206,1319,1477,2592,2025
HPYR1,0,0,0,0,0,0,0,0,0
CPEB4,234,2435,2778,3451,1977,3714,2628,1680,1391
CPEB1,249,9,36,33,0,6,75,0,0
CPEB3,360,490,753,578,2122,1141,1200,3104,434
CPEB2,517,791,585,951,938,1115,980,732,516
SRBD1,1338,2607,1865,2916,3160,1680,1757,3482,2549
ABAT,509,275,810,493,769,1220,538,552,1157
POU5F1B,0,76,17,34,61,19,4,6,17
LOC284865,0,0,0,0,0,0,0,0,0
PHOX2A,0,0,0,0,0,0,0,0,0
PHOX2B,0,0,0,0,0,0,0,0,0
UPK2,0,33,0,0,0,148,17,0,0
CFH,10378,6785,10098,18101,30424,15620,19750,35588,38930
CFI,2121,627,1455,4838,6384,3459,2034,6558,1073
ANKFY1,3310,5053,2441,4609,6629,5322,4806,7402,2829
CFB,3014,3748,1993,13754,25753,4753,9183,7584,3857
TPT1-AS1,145,108,134,197,132,164,71,96,94
CFP,0,60,41,52,125,44,16,54,25
REREP3,0,100,0,0,0,29,38,0,51
AAAS,3734,5614,2993,3854,4280,4300,4095,7928,3058
SIDT1,42,238,939,1130,1275,293,200,2636,2012
SIDT2,1031,2263,1575,1150,1634,1387,2452,3098,916
PISRT1,0,0,0,0,0,0,0,0,0
LOC283070,0,0,3,0,3,0,0,6,0
SAGE1,0,0,0,0,0,0,0,0,0
AAGAB,1596,2847,1509,1770,3321,2003,3119,3162,2240
C4orf19,14,17,56,200,323,240,9,272,138
C4orf17,0,0,0,0,0,0,0,0,0
RNU6-67P,0,0,0,0,0,0,0,0,0
NBEAP1,0,0,0,0,0,0,0,0,0
RFPL4AL1,0,0,0,0,0,0,0,0,0
ABCE1,3283,2430,2105,2431,4144,2523,1787,4286,1480
TEN1-CDK3,197,195,356,366,343,550,139,506,444
MKRN2OS,30,240,332,474,62,254,171,810,58
MSL3P1,230,25,99,114,112,193,172,426,271
NCBP2-AS2,55,85,53,34,87,80,19,108,49
LOC286297,212,58,60,380,237,300,214,770,373
C15orf26,130,59,0,0,21,0,19,0,126
C15orf27,9,53,23,29,65,35,49,70,22
MCCD1,0,0,0,0,0,0,0,0,0
ZNF117,1051,10350,2882,7189,4552,15412,14558,5078,6665
ZNF114,313,653,31,14,100,6,148,298,78
ZNF112,282,188,533,872,338,963,1162,862,1176
SEZ6L,0,0,15,0,0,0,0,0,0
MIR6780B,0,0,0,0,2,0,0,0,0
MIR6780A,0,0,0,0,0,0,0,0,0
PRKAR2A,541,2742,1213,1033,996,1039,859,3210,695
PRKAR2B,0,231,175,298,177,84,40,532,10
MAGT1,3782,5892,3110,2843,5964,6158,3709,8456,3061
MIR6862-1,6,2,2,2,8,2,2,0,2
S1PR4,0,30,10,60,34,19,23,34,22
ITGA2B,335,390,348,65,755,343,233,20,86
PHACTR4,2559,3907,2916,3274,8454,7498,5918,9012,4904
PHACTR1,31,187,122,72,101,122,120,42,40
NLGN3,0,455,315,116,421,193,267,830,211
PHACTR3,11,32,47,29,22,20,0,182,90
PHACTR2,1602,1215,1723,2643,1569,3014,2464,2520,2032
KRTAP2-3,0,1,0,0,0,13,0,0,0
KRTAP2-2,0,1,0,0,0,0,0,0,0
KRTAP2-1,0,2,0,0,0,0,0,0,0
KRTAP2-4,0,1,0,0,0,13,0,0,0
MIR4708,0,0,0,0,0,0,0,0,0
MIR4709,2,1,2,1,2,1,1,4,2
MIR4705,0,0,0,0,0,0,0,0,0
MIR4706,0,0,0,0,0,0,0,0,0
MIR4707,1,1,1,0,1,1,1,2,1
MIR4700,0,0,1,0,0,0,0,0,0
MIR4701,0,2,0,0,0,0,4,0,0
MIR4703,0,0,0,0,0,0,0,0,0
SBF1P1,0,0,0,0,0,0,0,0,0
LOC101928030,0,0,0,0,0,0,0,0,0
LOC101928036,0,0,0,0,0,0,0,0,0
LOC101928035,0,0,0,0,0,0,0,0,0
VMP1,2928,9208,6563,5374,10978,7701,8226,7560,6260
EPN2-AS1,0,0,0,0,0,0,0,0,0
NR1D1,519,1612,788,853,1631,2055,3911,976,569
NR1D2,637,1810,2898,3281,2954,5329,3270,5658,1340
LOC100132287,0,15661,8791,12344,24600,62069,13933,26840,16700
OGFR,5976,4353,2337,3140,6790,4816,8429,6008,4200
