"","chromosome_name","start_position","end_position","hgnc_symbol"
"1","12",53307456,53324864,"AAAS"
"2","3",151814073,151828488,"AADAC"
"3","4",170060222,170091699,"AADAT"
"4","15",67200667,67255195,"AAGAB"
"5","16",8674596,8784575,"ABAT"
"6","16",2339150,2426699,"ABCA17P"
"7","7",87503017,87713323,"ABCB1"
"8","7",87401696,87480435,"ABCB4"
"9","7",20615667,20777038,"ABCB5"
"10","2",219209772,219218994,"ABCB6"
"11","X",75051048,75156732,"ABCB7"
"12","7",151028422,151047782,"ABCB8"
"13","12",122920951,122981649,"ABCB9"
"14","16",18571162,18598328,"ABCC6P1"
"15","16",18571276,18592716,"ABCC6P1"
"16","CHR_HSCHR16_1_CTG1",15389359,15393236,"ABCC6P2"
"17","CHR_HSCHR16_1_CTG1",15389326,15391602,"ABCC6P2"
"18","16",14820792,14824669,"ABCC6P2"
"19","16",14822432,14824702,"ABCC6P2"
"20","4",145098288,145129524,"ABCE1"
"21","14",50872053,50904970,"ABHD12B"
"22","3",51974706,51989183,"ABHD14A-ACY1"
"23","2",203328280,203447728,"ABI2"
"24","17",49210411,49223225,"ABI3"
"25","10",114431112,114768061,"ABLIM1"
"26","4",7965310,8158832,"ABLIM2"
"27","5",149141483,149260542,"ABLIM3"
"28","CHR_HSCHR17_7_CTG4",37086456,37411442,"ACACA"
"29","17",37084992,37406836,"ACACA"
"30","12",109116587,109268226,"ACACB"
"31","3",42804752,42887974,"ACKR2"
"32","15",78167468,78245688,"ACSBG1"
"33","19",6135247,6193094,"ACSBG2"
"34","20",25006230,25058980,"ACSS1"
"35","20",34872146,34927962,"ACSS2"
"36","12",80936414,81261210,"ACSS3"
"37","7",5526409,5563902,"ACTB"
"38","14",68874128,68979440,"ACTN1"
"39","1",236664141,236764631,"ACTN2"
"40","11",66546395,66563334,"ACTN3"
"41","CHR_HG26_PATCH",38647649,38731589,"ACTN4"
"42","19",38647649,38731589,"ACTN4"
"43","7",152759749,152855378,"ACTR3B"
"44","7",150243916,150323725,"ACTR3C"
"45","12",51906908,51923361,"ACVRL1"
"46","15",58588809,58749791,"ADAM10"
"47","17",44758988,44781846,"ADAM11"
"48","10",126012381,126388477,"ADAM12"
"49","1",155050566,155062775,"ADAM15"
"50","CHR_HSCHR8_9_CTG1",39429440,39575001,"ADAM18"
"51","8",39584489,39730065,"ADAM18"
"52","5",157395534,157575775,"ADAM19"
"53","12",111899263,111901391,"ADAM1A"
"54","7",897900,955407,"ADAP1"
"55","17",30906344,30959322,"ADAP2"
"56","21",45073853,45226560,"ADARB1"
"57","7",45574140,45723116,"ADCY1"
"58","1",167809386,167914215,"ADCY10"
"59","5",7396138,7830081,"ADCY2"
"60","2",24819169,24920237,"ADCY3"
"61","CHR_HG1_PATCH",24318348,24335092,"ADCY4"
"62","14",24318349,24335093,"ADCY4"
"63","3",123282296,123449090,"ADCY5"
"64","12",48766194,48789089,"ADCY6"
"65","16",50246137,50318135,"ADCY7"
"66","8",130780301,131040909,"ADCY8"
"67","16",3953387,4116442,"ADCY9"
"68","1",202940826,202958572,"ADIPOR1"
"69","CHR_HG1815_PATCH",1688574,1788674,"ADIPOR2"
"70","12",1688574,1788674,"ADIPOR2"
"71","15",72751294,72785846,"ADPGK"
"72","10",111077029,111080907,"ADRA2A"
"73","2",96112876,96116571,"ADRA2B"
"74","4",3766348,3768526,"ADRA2C"
"75","22",40346461,40390463,"ADSL"
"76","7",44104345,44114562,"AEBP1"
"77","12",19404045,19720801,"AEBP2"
"78","15",88621337,88632281,"AEN"
"79","4",86935002,87141039,"AFF1"
"80","X",148500617,149000663,"AFF2"
"81","2",99545419,100192428,"AFF3"
"82","5",132875395,132963634,"AFF4"
"83","2",235494043,236131793,"AGAP1"
"84","12",57723761,57742157,"AGAP2"
"85","7",151085831,151144436,"AGAP3"
"86","10",45825594,45853875,"AGAP4"
"87","10",73674287,73698109,"AGAP5"
"88","10",49982190,50011654,"AGAP6"
"89","10",47501854,47523638,"AGAP9"
"90","CHR_HSCHR6_MHC_APD_CTG1",32247977,32251333,"AGER"
"91","CHR_HSCHR6_MHC_MCF_CTG1",32257394,32260750,"AGER"
"92","CHR_HSCHR6_MHC_MANN_CTG1",32220356,32223712,"AGER"
